DATE,CURRENCY
2001-10-22,1298.0
2001-10-23,1299.0
2001-10-24,1291.0
2001-10-25,1291.0
2001-10-26,1292.0
2001-10-29,1289.0
2001-10-30,1288.0
2001-10-31,1286.0
2001-11-01,1286.0
2001-11-02,1286.0
2001-11-05,1286.0
2001-11-06,1285.0
2001-11-07,1282.0
2001-11-08,1275.0
2001-11-09,1273.0
2001-11-12,1273.0
2001-11-13,1278.0
2001-11-14,1274.0
2001-11-15,1273.0
2001-11-16,1273.0
2001-11-19,1274.0
2001-11-20,1273.0
2001-11-21,1270.0
2001-11-22,1277.3
2001-11-23,1260.0
2001-11-26,1252.0
2001-11-27,1255.0
2001-11-28,1262.0
2001-11-29,1259.0
2001-11-30,1263.0
2001-12-03,1268.0
2001-12-04,1264.1
2001-12-05,1260.9
2001-12-06,1264.4
2001-12-07,1264.0
2001-12-10,1272.6
2001-12-11,1268.3
2001-12-12,1264.4
2001-12-13,1264.6
2001-12-14,1275.9
2001-12-17,1283.5
2001-12-18,1281.9
2001-12-19,1282.2
2001-12-20,1290.2
2001-12-21,1298.9
2001-12-24,1298.2
2001-12-25,1298.2
2001-12-26,1308.0
2001-12-27,1319.1
2001-12-28,1313.0
2001-12-31,1313.0
2002-01-02,1307.4
2002-01-03,1302.7
2002-01-04,1300.0
2002-01-07,1291.0
2002-01-08,1299.5
2002-01-09,1301.9
2002-01-10,1302.3
2002-01-11,1305.5
2002-01-14,1302.3
2002-01-15,1306.9
2002-01-16,1305.8
2002-01-17,1307.3
2002-01-18,1310.5
2002-01-21,1310.4
2002-01-22,1310.4
2002-01-23,1330.5
2002-01-24,1320.5
2002-01-25,1317.6
2002-01-28,1311.3
2002-01-29,1303.6
2002-01-30,1301.0
2002-01-31,1304.4
2002-02-01,1307.6
2002-02-04,1307.8
2002-02-05,1306.8
2002-02-06,1306.7
2002-02-07,1308.2
2002-02-08,1310.2
2002-02-11,1310.2
2002-02-12,1310.2
2002-02-13,1310.2
2002-02-14,1306.2
2002-02-15,1305.2
2002-02-18,1306.6
2002-02-19,1311.0
2002-02-20,1310.0
2002-02-21,1308.8
2002-02-22,1312.0
2002-02-25,1313.9
2002-02-26,1315.4
2002-02-27,1317.3
2002-02-28,1313.8
2002-03-01,1313.8
2002-03-04,1308.2
2002-03-05,1306.4
2002-03-06,1306.3
2002-03-07,1304.5
2002-03-08,1304.3
2002-03-11,1307.0
2002-03-12,1308.5
2002-03-13,1310.5
2002-03-14,1312.1
2002-03-15,1312.8
2002-03-18,1315.5
2002-03-19,1316.5
2002-03-20,1315.8
2002-03-21,1316.8
2002-03-22,1318.4
2002-03-25,1321.5
2002-03-26,1319.3
2002-03-27,1317.0
2002-03-28,1317.0
2002-03-29,1315.9
2002-04-01,1317.5
2002-04-02,1319.0
2002-04-03,1319.0
2002-04-04,1320.5
2002-04-05,1320.5
2002-04-08,1318.2
2002-04-09,1319.6
2002-04-10,1319.2
2002-04-11,1320.0
2002-04-12,1322.0
2002-04-15,1317.9
2002-04-16,1315.6
2002-04-17,1308.7
2002-04-18,1303.2
2002-04-19,1302.2
2002-04-22,1298.8
2002-04-23,1296.3
2002-04-24,1297.0
2002-04-25,1287.6
2002-04-26,1287.6
2002-04-29,1283.6
2002-04-30,1284.0
2002-05-01,1284.0
2002-05-02,1278.0
2002-05-03,1274.0
2002-05-06,1271.2
2002-05-07,1269.5
2002-05-08,1275.4
2002-05-09,1272.4
2002-05-10,1270.0
2002-05-13,1278.0
2002-05-14,1269.3
2002-05-15,1267.5
2002-05-16,1259.8
2002-05-17,1251.6
2002-05-20,1243.6
2002-05-21,1239.6
2002-05-22,1232.2
2002-05-23,1231.1
2002-05-24,1228.2
2002-05-27,1218.8
2002-05-28,1222.5
2002-05-29,1219.3
2002-05-30,1212.5
2002-05-31,1209.3
2002-06-03,1209.3
2002-06-04,1205.1
2002-06-05,1209.0
2002-06-06,1220.0
2002-06-07,1227.0
2002-06-10,1229.0
2002-06-11,1210.5
2002-06-12,1218.6
2002-06-13,1218.6
2002-06-14,1221.1
2002-06-17,1230.0
2002-06-18,1219.0
2002-06-19,1215.3
2002-06-20,1209.8
2002-06-21,1204.4
2002-06-24,1209.0
2002-06-25,1212.0
2002-06-26,1202.0
2002-06-27,1187.9
2002-06-28,1201.0
2002-07-01,1201.2
2002-07-02,1190.8
2002-07-03,1192.8
2002-07-04,1200.5
2002-07-05,1189.9
2002-07-08,1185.0
2002-07-09,1167.2
2002-07-10,1164.4
2002-07-11,1164.5
2002-07-12,1167.8
2002-07-15,1161.6
2002-07-16,1156.8
2002-07-17,1156.8
2002-07-18,1159.8
2002-07-19,1155.6
2002-07-22,1150.6
2002-07-23,1158.1
2002-07-24,1160.1
2002-07-25,1170.0
2002-07-26,1175.4
2002-07-29,1185.0
2002-07-30,1178.1
2002-07-31,1173.0
2002-08-01,1172.8
2002-08-02,1174.3
2002-08-05,1187.5
2002-08-06,1214.0
2002-08-07,1204.0
2002-08-08,1196.7
2002-08-09,1193.5
2002-08-12,1195.0
2002-08-13,1189.6
2002-08-14,1176.3
2002-08-15,1176.0
2002-08-16,1178.9
2002-08-19,1184.2
2002-08-20,1185.0
2002-08-21,1182.0
2002-08-22,1183.7
2002-08-23,1200.0
2002-08-26,1195.3
2002-08-27,1189.8
2002-08-28,1197.0
2002-08-29,1197.0
2002-08-30,1191.9
2002-09-02,1192.2
2002-09-03,1190.5
2002-09-04,1185.1
2002-09-05,1181.2
2002-09-06,1196.0
2002-09-09,1186.8
2002-09-10,1202.0
2002-09-11,1192.5
2002-09-12,1191.4
2002-09-13,1213.0
2002-09-16,1210.0
2002-09-17,1208.6
2002-09-18,1203.0
2002-09-19,1200.0
2002-09-20,1200.0
2002-09-23,1223.0
2002-09-24,1213.5
2002-09-25,1220.0
2002-09-26,1218.6
2002-09-27,1217.9
2002-09-30,1217.7
2002-10-01,1217.5
2002-10-02,1220.4
2002-10-03,1220.4
2002-10-04,1222.4
2002-10-07,1230.7
2002-10-08,1237.1
2002-10-09,1244.0
